city,state_id,lat,lng,population,timezone
Jefferson City,TN,36.1197,-83.4838,8194,America/New_York
Country Club Estates,GA,31.2113,-81.4622,8194,America/New_York
Twin Lakes,CO,39.8229,-105.0036,8196,America/Denver
Lake Norman of Catawba,NC,35.5995,-80.9840,8196,America/New_York
Oberlin,OH,41.2857,-82.2197,8199,America/New_York
Temperance,MI,41.7653,-83.5755,8201,America/Detroit
Mahopac,NY,41.3684,-73.7401,8203,America/New_York
Upper Saddle River,NJ,41.0633,-74.0986,8205,America/New_York
Napoleon,OH,41.3978,-84.1244,8207,America/New_York
Cheviot,OH,39.1577,-84.6139,8209,America/New_York
Chester,IL,37.9199,-89.8259,8213,America/Chicago
Castle Shannon,PA,40.3664,-80.0194,8216,America/New_York
Westlake Village,CA,34.1369,-118.8220,8217,America/Los_Angeles
Irondale,GA,33.4773,-84.3600,8224,America/New_York
Thomson,GA,33.4666,-82.4992,8225,America/New_York
Waynesburg,PA,39.8983,-80.1855,8227,America/New_York
Spotswood,NJ,40.3949,-74.3920,8228,America/New_York
Johnstown,NY,43.0073,-74.3755,8230,America/New_York
Mammoth Lakes,CA,37.6273,-118.9900,8235,America/Los_Angeles
North Weeki Wachee,FL,28.5591,-82.5537,8238,America/New_York
Manhattan,IL,41.4274,-87.9805,8240,America/Chicago
Fort Mitchell,KY,39.0459,-84.5563,8241,America/New_York
Locust Grove,GA,33.3442,-84.1071,8243,America/New_York
Half Moon,NC,34.8298,-77.4591,8243,America/New_York
Lugoff,SC,34.2216,-80.6849,8243,America/New_York
Denison,IA,42.0160,-95.3528,8244,America/Chicago
Montecito,CA,34.4382,-119.6286,8245,America/Los_Angeles
Four Corners,MD,39.0235,-77.0102,8246,America/New_York
Cumberland Hill,RI,41.9736,-71.4605,8249,America/New_York
Moundsville,WV,39.9221,-80.7422,8252,America/New_York
Colorado City,AZ,36.9774,-112.9830,8258,America/Phoenix
Oak Grove,MO,39.0077,-94.1283,8258,America/Chicago
Lake City,SC,33.8676,-79.7533,8268,America/New_York
Paw Paw,MI,42.2147,-85.8918,8270,America/Detroit
Alondra Park,CA,33.8885,-118.3350,8272,America/Los_Angeles
Southeast Arcadia,FL,27.1862,-81.8521,8272,America/New_York
Carl Junction,MO,37.1668,-94.5468,8274,America/Chicago
Trinidad,CO,37.1750,-104.4908,8276,America/Denver
Kenton,OH,40.6448,-83.6095,8276,America/New_York
McRae-Helena,GA,32.0635,-82.8968,8277,America/New_York
Mount Joy,PA,40.1105,-76.5065,8278,America/New_York
Dormont,PA,40.3941,-80.0377,8282,America/New_York
Savannah,TN,35.2210,-88.2360,8288,America/Chicago
Floris,VA,38.9347,-77.4083,8291,America/New_York
West Vero Corridor,FL,27.6378,-80.4855,8292,America/New_York
Haledon,NJ,40.9363,-74.1887,8293,America/New_York
Mahtomedi,MN,45.0619,-92.9660,8294,America/Chicago
Whitefish,MT,48.4329,-114.3591,8295,America/Denver
Firebaugh,CA,36.8534,-120.4536,8296,America/Los_Angeles
Aurora,MO,36.9674,-93.7183,8297,America/Chicago
Milton,WA,47.2522,-122.3156,8299,America/Los_Angeles
Orosi,CA,36.5434,-119.2903,8300,America/Los_Angeles
Runnemede,NJ,39.8521,-75.0739,8300,America/New_York
Bel Aire,KS,37.7749,-97.2457,8300,America/Chicago
Gonzales,CA,36.5060,-121.4429,8306,America/Los_Angeles
Garrison,MD,39.4023,-76.7514,8309,America/New_York
Dalhart,TX,36.0579,-102.5123,8310,America/Chicago
Larkfield-Wikiup,CA,38.5130,-122.7536,8312,America/Los_Angeles
Frostproof,FL,27.7493,-81.5252,8312,America/New_York
Holly,MI,42.7987,-83.6235,8313,America/Detroit
Quincy,WA,47.2344,-119.8531,8313,America/Los_Angeles
St. Joseph,MI,42.0967,-86.4850,8317,America/Detroit
Flowery Branch,GA,34.1713,-83.9142,8325,America/New_York
Oak Hills Place,LA,30.3690,-91.0887,8326,America/Chicago
Westwego,LA,29.9058,-90.1434,8326,America/Chicago
Tillamook,OR,45.4562,-123.8331,8328,America/Los_Angeles
Beaver Falls,PA,40.7620,-80.3225,8332,America/New_York
Grandview Heights,OH,39.9793,-83.0408,8333,America/New_York
Harwood Heights,IL,41.9663,-87.8057,8333,America/Chicago
Petoskey,MI,45.3650,-84.9887,8334,America/Detroit
Clover,SC,35.1125,-81.2203,8335,America/New_York
Bogota,NJ,40.8750,-74.0293,8335,America/New_York
Garden City Park,NY,40.7436,-73.6639,8335,America/New_York
Bath,ME,43.9346,-69.8346,8338,America/New_York
Orono,MN,44.9657,-93.5908,8339,America/Chicago
Midway City,CA,33.7451,-117.9849,8343,America/Los_Angeles
Tallulah,LA,32.4067,-91.1915,8346,America/Chicago
West Livingston,TX,30.6957,-95.0097,8347,America/Chicago
Kulpsville,PA,40.2440,-75.3407,8348,America/New_York
Socorro,NM,34.0543,-106.9066,8348,America/Denver
Buckhannon,WV,38.9927,-80.2282,8351,America/New_York
Gulf Hills,MS,30.4365,-88.8149,8352,America/Chicago
Hempstead,TX,30.1004,-96.0779,8355,America/Chicago
Miramar Beach,FL,30.3854,-86.3443,8356,America/Chicago
Wimauma,FL,27.6964,-82.3034,8358,America/New_York
Millersville,PA,40.0047,-76.3522,8359,America/New_York
Seffner,FL,27.9981,-82.2735,8362,America/New_York
Baxter,MN,46.3426,-94.2793,8364,America/Chicago
Druid Hills,GA,33.7842,-84.3273,8365,America/New_York
Fletcher,NC,35.4316,-82.5038,8369,America/New_York
Charlestown,IN,38.4270,-85.6677,8370,America/Kentucky/Louisville
Somers,WI,42.6411,-87.8919,8371,America/Chicago
Highland Heights,OH,41.5518,-81.4691,8373,America/New_York
Fairless Hills,PA,40.1784,-74.8524,8379,America/New_York
Long Branch,VA,38.8302,-77.2713,8381,America/New_York
Carbondale,PA,41.5714,-75.5048,8383,America/New_York
Arab,AL,34.3309,-86.4991,8383,America/Chicago
Gaylord,MI,45.0213,-84.6803,8388,America/Detroit
Aransas Pass,TX,27.8877,-97.1134,8388,America/Chicago
Paris,IL,39.6149,-87.6904,8394,America/Chicago
North Haledon,NJ,40.9628,-74.1844,8395,America/New_York
Tecumseh,MI,42.0065,-83.9450,8398,America/Detroit
Fair Lakes,VA,38.8530,-77.3885,8399,America/New_York
Savoy,IL,40.0600,-88.2552,8401,America/Chicago
Bayport,NY,40.7460,-73.0546,8402,America/New_York
Spring Valley Lake,CA,34.4987,-117.2683,8403,America/Los_Angeles
Makaha,HI,21.4734,-158.2103,8404,Pacific/Honolulu
Ashland,NJ,39.8782,-75.0085,8405,America/New_York
August,CA,37.9797,-121.2625,8405,America/Los_Angeles
Lake of the Woods,VA,38.3342,-77.7599,8406,America/New_York
Congers,NY,41.1484,-73.9456,8406,America/New_York
Ogden,NC,34.2656,-77.7965,8408,America/New_York
Monticello,IN,40.7455,-86.7669,8416,America/Indiana/Indianapolis
Santa Clara,UT,37.1311,-113.6561,8417,America/Denver
Los Altos Hills,CA,37.3671,-122.1390,8423,America/Los_Angeles
Pine Lake Park,NJ,40.0017,-74.2595,8427,America/New_York
Onalaska,TX,30.8209,-95.1111,8435,America/Chicago
Prien,LA,30.1601,-93.2611,8437,America/Chicago
University of Virginia,VA,38.0405,-78.5163,8444,America/New_York
Sunset Hills,MO,38.5310,-90.4087,8447,America/Chicago
Helena Valley Southeast,MT,46.6175,-111.9186,8448,America/Denver
Humboldt,TN,35.8254,-88.9043,8456,America/Chicago
Mason,MI,42.5806,-84.4427,8458,America/Detroit
Tuscumbia,AL,34.7204,-87.7035,8461,America/Chicago
Middleton,ID,43.7114,-116.6155,8466,America/Boise
Corona de Tucson,AZ,31.9495,-110.7836,8470,America/Phoenix
Summit View,WA,47.1343,-122.3468,8475,America/Los_Angeles
Hillsboro,TX,32.0091,-97.1151,8476,America/Chicago
Lansdowne,MD,39.2365,-76.6659,8477,America/New_York
Willow Street,PA,39.9809,-76.2705,8478,America/New_York
Mystic Island,NJ,39.5659,-74.3831,8484,America/New_York
Malverne,NY,40.6746,-73.6721,8485,America/New_York
Stuttgart,AR,34.4950,-91.5485,8490,America/Chicago
Sitka,AK,57.2401,-135.3153,8493,America/Sitka
East York,PA,39.9687,-76.6759,8495,America/New_York
Booneville,MS,34.6643,-88.5684,8497,America/Chicago
Sallisaw,OK,35.4605,-94.8070,8497,America/Chicago
Rolesville,NC,35.9224,-78.4656,8501,America/New_York
Frostburg,MD,39.6506,-78.9269,8505,America/New_York
Terrace Heights,WA,46.6024,-120.4482,8507,America/Los_Angeles
St. Johns,MI,43.0005,-84.5555,8510,America/Detroit
Closter,NJ,40.9733,-73.9604,8511,America/New_York
Perryton,TX,36.3930,-100.7976,8512,America/Chicago
Succasunna,NJ,40.8507,-74.6596,8514,America/New_York
Morrisville,PA,40.2074,-74.7800,8521,America/New_York
Rawlins,WY,41.7849,-107.2265,8521,America/Denver
Laurel,MT,45.6735,-108.7707,8526,America/Denver
Edgemere,MD,39.2273,-76.4590,8526,America/New_York
Park Hills,MO,37.8211,-90.5050,8529,America/Chicago
East Grand Forks,MN,47.9284,-97.0138,8535,America/Chicago
Wetumpka,AL,32.5407,-86.2052,8538,America/Chicago
Conover,NC,35.7155,-81.2170,8540,America/New_York
Franklin,VA,36.6831,-76.9386,8549,America/New_York
Piedmont,OK,35.6784,-97.7528,8551,America/Chicago
Lucas,TX,33.0942,-96.5803,8553,America/Chicago
Lake Park,FL,26.7998,-80.0680,8556,America/New_York
Indian Harbour Beach,FL,28.1530,-80.5976,8557,America/New_York
West Frankfort,IL,37.8997,-88.9301,8561,America/Chicago
Wyoming,OH,39.2297,-84.4816,8562,America/New_York
Riverside,IL,41.8310,-87.8169,8563,America/Chicago
Brooksville,FL,28.5404,-82.3903,8564,America/New_York
Ione,CA,38.3613,-120.9422,8568,America/Los_Angeles
Aspen,CO,39.1950,-106.8369,8569,America/Denver
Montvale,NJ,41.0529,-74.0499,8570,America/New_York
Guntersville,AL,34.3670,-86.2638,8571,America/Chicago
Lake Villa,IL,42.4184,-88.0836,8573,America/Chicago
Perry Heights,OH,40.7977,-81.4680,8575,America/New_York
White Horse,NJ,40.1920,-74.7022,8576,America/New_York
Springfield,FL,30.1713,-85.6089,8577,America/Chicago
Green Cove Springs,FL,29.9904,-81.6807,8577,America/New_York
Willowbrook,IL,41.7635,-87.9456,8579,America/Chicago
Kalifornsky,AK,60.4417,-151.1972,8581,America/Anchorage
Sanatoga,PA,40.2498,-75.5886,8588,America/New_York
Sheridan,OR,45.0960,-123.3983,8590,America/Los_Angeles
Farmville,VA,37.2959,-78.4002,8594,America/New_York
Elsmere,KY,38.9949,-84.6017,8595,America/New_York
Orrville,OH,40.8480,-81.7743,8603,America/New_York
Riverside,CT,41.0319,-73.5827,8604,America/New_York
Corning,CA,39.9282,-122.1820,8604,America/Los_Angeles
Signal Mountain,TN,35.1449,-85.3457,8606,America/Chicago
Fairmount,CO,39.7931,-105.1712,8606,America/Denver
Tuba City,AZ,36.1250,-111.2468,8609,America/Denver
Orting,WA,47.0966,-122.2111,8610,America/Los_Angeles
Reserve,LA,30.0741,-90.5557,8611,America/Chicago
Alamo Heights,TX,29.4828,-98.4682,8614,America/Chicago
Ladue,MO,38.6378,-90.3815,8616,America/Chicago
Rockland,ME,44.1274,-69.1369,8616,America/New_York
Richlands,VA,37.0878,-81.8080,8618,America/New_York
Hyrum,UT,41.6311,-111.8418,8619,America/Denver
Salem,UT,40.0540,-111.6720,8621,America/Denver
York,SC,34.9967,-81.2340,8623,America/New_York
Prairie du Sac,WI,43.2920,-89.7353,8627,America/Chicago
North Madison,OH,41.8298,-81.0511,8630,America/New_York
Audubon,NJ,39.8906,-75.0722,8637,America/New_York
Monahans,TX,31.6289,-103.0403,8639,America/Chicago
Matawan,NJ,40.4127,-74.2365,8640,America/New_York
San Sebastián,PR,18.3356,-66.9949,8640,America/Puerto_Rico
Kennedale,TX,32.6434,-97.2173,8645,America/Chicago
Fishersville,VA,38.1005,-78.9687,8647,America/New_York
Swissvale,PA,40.4207,-79.8858,8647,America/New_York
Kings Grant,NC,34.2665,-77.8659,8647,America/New_York
Brigantine,NJ,39.4138,-74.3787,8650,America/New_York
Hoquiam,WA,46.9863,-123.9022,8655,America/Los_Angeles
Hawthorn Woods,IL,42.2313,-88.0623,8666,America/Chicago
Mount Pleasant,IA,40.9625,-91.5452,8668,America/Chicago
Cresskill,NJ,40.9405,-73.9596,8668,America/New_York
Earlimart,CA,35.8824,-119.2715,8668,America/Los_Angeles
Incline Village,NV,39.2639,-119.9453,8669,America/Los_Angeles
Glenshaw,PA,40.5391,-79.9735,8669,America/New_York
Scott,LA,30.2398,-92.0947,8675,America/Chicago
Andalusia,AL,31.3101,-86.4781,8680,America/Chicago
Pleasant Hill,MO,38.8061,-94.2655,8683,America/Chicago
Coral Hills,MD,38.8709,-76.9234,8685,America/New_York
Montesano,WA,47.0102,-123.5857,8685,America/Los_Angeles
Greenbriar,VA,38.8717,-77.3970,8686,America/New_York
Park Ridge,NJ,41.0353,-74.0423,8694,America/New_York
Fern Park,FL,28.6484,-81.3458,8694,America/New_York
Fort Knox,KY,37.8915,-85.9636,8695,America/New_York
Greenville,RI,41.8800,-71.5549,8695,America/New_York
Perryville,MO,37.7263,-89.8759,8696,America/Chicago
Corrales,NM,35.2366,-106.6191,8696,America/Denver
Des Peres,MO,38.5973,-90.4480,8697,America/Chicago
Nevada,MO,37.8445,-94.3492,8699,America/Chicago
Thompsonville,CT,41.9916,-72.5965,8701,America/New_York
Jerseyville,IL,39.1175,-90.3271,8708,America/Chicago
Crestline,CA,34.2486,-117.2890,8709,America/Los_Angeles
Garden City,GA,32.0868,-81.1773,8713,America/New_York
Dumbarton,VA,37.6130,-77.5065,8714,America/New_York
Glenwood,IL,41.5409,-87.6116,8715,America/Chicago
Kirby,TX,29.4611,-98.3861,8723,America/Chicago
Cape St. Claire,MD,39.0433,-76.4471,8729,America/New_York
Seven Corners,VA,38.8658,-77.1445,8731,America/New_York
Olney,IL,38.7285,-88.0838,8732,America/Chicago
Sanger,TX,33.3716,-97.1677,8732,America/Chicago
Princeton,IN,38.3553,-87.5784,8733,America/Chicago
Cortez,CO,37.3505,-108.5766,8736,America/Denver
Perkasie,PA,40.3719,-75.2920,8738,America/New_York
Clayton,NJ,39.6627,-75.0782,8738,America/New_York
Rock Falls,IL,41.7723,-89.6928,8740,America/Chicago
Pitman,NJ,39.7335,-75.1306,8741,America/New_York
Clarendon Hills,IL,41.7981,-87.9569,8752,America/Chicago
Needles,CA,34.8164,-114.6189,8752,America/Los_Angeles
New Albany,MS,34.4909,-89.0201,8753,America/Chicago
Graham,TX,33.1017,-98.5778,8755,America/Chicago
Edgewood,KY,39.0091,-84.5604,8759,America/New_York
Canonsburg,PA,40.2643,-80.1868,8760,America/New_York
New Square,NY,41.1410,-74.0294,8763,America/New_York
South Kensington,MD,39.0188,-77.0785,8763,America/New_York
Wharton,TX,29.3138,-96.1044,8765,America/Chicago
Redlands,CO,39.0886,-108.6583,8765,America/Denver
West Miami,FL,25.7578,-80.2969,8767,America/New_York
Frankfort Square,IL,41.5221,-87.8033,8768,America/Chicago
Villas,NJ,39.0158,-74.9349,8769,America/New_York
Citrus Springs,FL,28.9931,-82.4595,8779,America/New_York
Quakertown,PA,40.4398,-75.3456,8784,America/New_York
Airmont,NY,41.0992,-74.0990,8786,America/New_York
Clanton,AL,32.8440,-86.6230,8794,America/Chicago
Collingdale,PA,39.9151,-75.2776,8794,America/New_York
Oakville,CT,41.5923,-73.0858,8799,America/New_York
Richmond Heights,MO,38.6309,-90.3333,8801,America/Chicago
Franklin,PA,41.3936,-79.8425,8802,America/New_York
North Sarasota,FL,27.3711,-82.5177,8806,America/New_York
Palm Beach,FL,26.6932,-80.0406,8816,America/New_York
Glens Falls North,NY,43.3350,-73.6824,8817,America/New_York
Canal Winchester,OH,39.8432,-82.8121,8818,America/New_York
Absecon,NJ,39.4228,-74.4944,8818,America/New_York
Orange Park,FL,30.1706,-81.7041,8824,America/New_York
Glencoe,IL,42.1347,-87.7641,8826,America/Chicago
Olmsted Falls,OH,41.3658,-81.9042,8828,America/New_York
Ville Platte,LA,30.6901,-92.2744,8829,America/Chicago
Rhinelander,WI,45.6361,-89.4256,8830,America/Chicago
Covington,TN,35.5661,-89.6482,8834,America/Chicago
Riverdale,UT,41.1732,-112.0024,8838,America/Denver
Berkeley,MO,38.7439,-90.3361,8841,America/Chicago
Bridgeport,WV,39.3036,-80.2477,8842,America/New_York
Aliquippa,PA,40.6155,-80.2547,8844,America/New_York
Kodiak,AK,57.7934,-152.4060,8851,America/Anchorage
Woodbury,NY,40.8177,-73.4703,8852,America/New_York
New Prague,MN,44.5459,-93.5758,8859,America/Chicago
Cabo Rojo,PR,18.0867,-67.1482,8861,America/Puerto_Rico
Poteau,OK,35.0430,-94.6357,8863,America/Chicago
Gresham Park,GA,33.7053,-84.3155,8877,America/New_York
Logan,WV,37.8509,-81.9857,8882,America/New_York
Evergreen,CO,39.6349,-105.3356,8885,America/Denver
West Haven-Sylvan,OR,45.5164,-122.7654,8888,America/Los_Angeles
Innsbrook,VA,37.6552,-77.5775,8888,America/New_York
Oakland,TN,35.2256,-89.5372,8891,America/Chicago
St. Albans,VT,44.8118,-73.0846,8900,America/New_York
Sheffield,AL,34.7570,-87.6977,8901,America/Chicago
Merrydale,LA,30.4998,-91.1081,8903,America/Chicago
Southside,AL,33.9007,-86.0238,8905,America/Chicago
Whitehouse,TX,32.2222,-95.2217,8905,America/Chicago
Blanchard,OK,35.1523,-97.6613,8907,America/Chicago
Sellersburg,IN,38.4028,-85.7706,8908,America/Kentucky/Louisville
Aledo,TX,32.6973,-97.6070,8909,America/Chicago
Cedar Hills,OR,45.5047,-122.8051,8912,America/Los_Angeles
Folsom,PA,39.8924,-75.3287,8913,America/New_York
Harrodsburg,KY,37.7654,-84.8474,8916,America/New_York
Sheffield Lake,OH,41.4884,-82.0978,8916,America/New_York
Oak Grove,MN,45.3409,-93.3264,8917,America/Chicago
Boonton,NJ,40.9047,-74.4048,8919,America/New_York
Forestdale,AL,33.5737,-86.9002,8924,America/Chicago
Independence,KS,37.2118,-95.7328,8931,America/Chicago
Harrisburg,IL,37.7373,-88.5457,8933,America/Chicago
Sturgeon Bay,WI,44.8228,-87.3660,8934,America/Chicago
Oakwood,OH,39.7202,-84.1733,8936,America/New_York
Lake Arrowhead,CA,34.2531,-117.1945,8940,America/Los_Angeles
Stony Brook University,NY,40.9099,-73.1213,8943,America/New_York
Clinton,MO,38.3716,-93.7679,8945,America/Chicago
Summit,WA,47.1694,-122.3628,8946,America/Los_Angeles
Felida,WA,45.7138,-122.7104,8959,America/Los_Angeles
Lacombe,LA,30.3141,-89.9311,8960,America/Chicago
Derby,CO,39.8401,-104.9171,8962,America/Denver
Chester,SC,34.7050,-81.2132,8967,America/New_York
Fallston,MD,39.5332,-76.4452,8972,America/New_York
Triangle,VA,38.5483,-77.3195,8972,America/New_York
Plainedge,NY,40.7240,-73.4770,8975,America/New_York
Murphysboro,IL,37.7679,-89.3321,8976,America/Chicago
Waseca,MN,44.0826,-93.5025,8984,America/Chicago
Fairfield Glade,TN,36.0028,-84.8711,8985,America/Chicago
Skidaway Island,GA,31.9372,-81.0449,8986,America/New_York
LaSalle,IL,41.3575,-89.0718,8986,America/Chicago
Haiku-Pauwela,HI,20.9156,-156.3022,8987,Pacific/Honolulu
Mechanicsburg,PA,40.2115,-77.0060,8990,America/New_York
Albion,MI,42.2478,-84.7572,8990,America/Detroit
Delta,CO,38.7560,-108.0772,8995,America/Denver
Dexter,MO,36.7928,-89.9634,8996,America/Chicago
Lake Mohawk,NJ,41.0150,-74.6639,8999,America/New_York
Farmingdale,NY,40.7328,-73.4465,9002,America/New_York
Manteno,IL,41.2471,-87.8457,9002,America/Chicago
Presque Isle,ME,46.6868,-67.9874,9007,America/New_York
St. Anthony,MN,45.0278,-93.2174,9013,America/Chicago
Shiprock,NM,36.7924,-108.7005,9020,America/Denver
Oakbrook,KY,38.9996,-84.6797,9023,America/New_York
Valley Cottage,NY,41.1160,-73.9436,9023,America/New_York
Lindstrom,MN,45.3870,-92.8477,9023,America/Chicago
Woodway,TX,31.4988,-97.2314,9024,America/Chicago
Pineville,NC,35.0864,-80.8915,9028,America/New_York
La Grange,KY,38.3987,-85.3750,9031,America/New_York
Corozal,PR,18.3411,-66.3124,9031,America/Puerto_Rico
McFarland,WI,43.0203,-89.2858,9031,America/Chicago
Silver Springs Shores,FL,29.1031,-82.0050,9031,America/New_York
Shelby,OH,40.8847,-82.6578,9031,America/New_York
Leonia,NJ,40.8638,-73.9899,9035,America/New_York
Brewer,ME,44.7835,-68.7352,9035,America/New_York
North Kensington,MD,39.0392,-77.0723,9036,America/New_York
Indianola,MS,33.4492,-90.6447,9037,America/Chicago
Leisure World,MD,39.1023,-77.0691,9040,America/New_York
Beecher,MI,43.0903,-83.7039,9041,America/Detroit
Chanute,KS,37.6695,-95.4621,9042,America/Chicago
Micco,FL,27.8683,-80.5100,9047,America/New_York
Fort Polk South,LA,31.0512,-93.2159,9048,America/Chicago
Livingston,MT,45.6666,-110.5538,9050,America/Denver
Seaside,OR,45.9889,-123.9214,9060,America/Los_Angeles
Picnic Point,WA,47.8744,-122.3078,9064,America/Los_Angeles
Sutherlin,OR,43.3884,-123.3231,9067,America/Los_Angeles
Marlton,MD,38.7620,-76.7857,9071,America/New_York
Jeannette,PA,40.3277,-79.6139,9074,America/New_York
Northwest Harborcreek,PA,42.1494,-79.9946,9077,America/New_York
Golden Valley,AZ,35.2060,-114.2327,9079,America/Phoenix
Sugarmill Woods,FL,28.7321,-82.4986,9082,America/New_York
Highland Park,TX,32.8311,-96.8012,9083,America/Chicago
Tiburon,CA,37.8854,-122.4637,9084,America/Los_Angeles
Monmouth,IL,40.9141,-90.6423,9084,America/Chicago
Clinton,OK,35.5058,-98.9724,9087,America/Chicago
San Elizario,TX,31.5793,-106.2632,9089,America/Denver
Dillon,SC,34.4233,-79.3689,9089,America/New_York
Whitestown,IN,39.9705,-86.3612,9092,America/Indiana/Indianapolis
Berthoud,CO,40.3070,-105.0419,9094,America/Denver
Plymouth,WI,43.7447,-87.9657,9097,America/Chicago
Burton,SC,32.4233,-80.7454,9097,America/New_York
Economy,PA,40.6410,-80.1840,9098,America/New_York
Atmore,AL,31.0927,-87.4763,9107,America/Chicago
Linganore,MD,39.4111,-77.3026,9112,America/New_York
Edgewater,MD,38.9373,-76.5572,9112,America/New_York
Grosse Pointe Farms,MI,42.4067,-82.8992,9114,America/Detroit
Rapid Valley,SD,44.0674,-103.1223,9114,America/Denver
Grinnell,IA,41.7361,-92.7244,9116,America/Chicago
Jersey Shore,PA,41.2012,-77.2666,9116,America/New_York
Monett,MO,36.9220,-93.9261,9124,America/Chicago
Woodburn,VA,38.8503,-77.2322,9127,America/New_York
Union,SC,34.7235,-81.6248,9132,America/New_York
Murrells Inlet,SC,33.5566,-79.0593,9137,America/New_York
Anaconda,MT,46.0607,-113.0679,9140,America/Denver
Fairview,TX,33.1399,-96.6116,9141,America/Chicago
Fairview,TN,35.9815,-87.1291,9146,America/Chicago
Thief River Falls,MN,48.1112,-96.1771,9147,America/Chicago
Rathdrum,ID,47.7995,-116.8908,9150,America/Los_Angeles
Hooper,UT,41.1599,-112.2871,9152,America/Denver
Ridgefield,WA,45.8114,-122.7050,9153,America/Los_Angeles
Plymouth,MI,42.3718,-83.4680,9154,America/Detroit
Flossmoor,IL,41.5391,-87.6857,9155,America/Chicago
Beckett Ridge,OH,39.3448,-84.4381,9155,America/New_York
Dunn Loring,VA,38.8945,-77.2316,9158,America/New_York
Calimesa,CA,33.9874,-117.0542,9160,America/Los_Angeles
Audubon,PA,40.1304,-75.4280,9163,America/New_York
Rensselaer,NY,42.6465,-73.7328,9171,America/New_York
Sullivan,MO,38.2129,-91.1636,9172,America/Chicago
Sabana Grande,PR,18.0821,-66.9673,9174,America/Puerto_Rico
Bloomingdale,TN,36.5793,-82.5096,9175,America/New_York
South Amboy,NJ,40.4852,-74.2831,9176,America/New_York
Woodlyn,PA,39.8774,-75.3445,9178,America/New_York
St. Marys,OH,40.5475,-84.3931,9180,America/New_York
Elwood,IN,40.2744,-85.8370,9180,America/Indiana/Indianapolis
Wagoner,OK,35.9641,-95.3790,9185,America/Chicago
Ivins,UT,37.1742,-113.6809,9192,America/Denver
Basalt,CO,39.3663,-107.0414,9193,America/Denver
Lynwood,IL,41.5234,-87.5508,9194,America/Chicago
Good Hope,CA,33.7706,-117.2772,9195,America/Los_Angeles
Independent Hill,VA,38.6404,-77.4090,9204,America/New_York
Cloverdale,CA,38.7961,-123.0151,9205,America/Los_Angeles
Lake Elmo,MN,44.9944,-92.9031,9210,America/Chicago
Bethalto,IL,38.9014,-90.0467,9210,America/Chicago
Spanish Fort,AL,30.7257,-87.8601,9214,America/Chicago
White Marsh,MD,39.3819,-76.4573,9216,America/New_York
Sans Souci,SC,34.8901,-82.4241,9220,America/New_York
Steger,IL,41.4723,-87.6176,9221,America/Chicago
Burlington,WA,48.4676,-122.3298,9224,America/Los_Angeles
Hillview,KY,38.0563,-85.6848,9225,America/New_York
Girard,OH,41.1666,-80.6963,9227,America/New_York
Kendall Park,NJ,40.4138,-74.5626,9234,America/New_York
Gridley,CA,39.3622,-121.6971,9237,America/Los_Angeles
Anthony,NM,32.0132,-106.5984,9239,America/Denver
Muncy,PA,41.2021,-76.7854,9245,America/New_York
Madeira,OH,39.1856,-84.3734,9245,America/New_York
Sultan,WA,47.8710,-121.8043,9246,America/Los_Angeles
Washington Terrace,UT,41.1683,-111.9783,9248,America/Denver
Harahan,LA,29.9374,-90.2030,9250,America/Chicago
Cheat Lake,WV,39.6672,-79.8565,9251,America/New_York
Hernando,FL,28.9451,-82.3781,9261,America/New_York
Bohemia,NY,40.7717,-73.1271,9262,America/New_York
Lexington,VA,37.7825,-79.4440,9264,America/New_York
Brentwood,PA,40.3734,-79.9757,9268,America/New_York
Marathon,FL,24.7262,-81.0376,9271,America/New_York
Westwood,MI,42.3030,-85.6286,9271,America/Detroit
Cross Lanes,WV,38.4351,-81.7706,9274,America/New_York
North College Hill,OH,39.2174,-84.5520,9283,America/New_York
Fultondale,AL,33.6177,-86.8015,9284,America/Chicago
Detroit Lakes,MN,46.8060,-95.8449,9288,America/Chicago
Wood-Ridge,NJ,40.8507,-74.0878,9294,America/New_York
Wesley Chapel,NC,34.9985,-80.6905,9295,America/New_York
Zimmerman,MN,45.4416,-93.5981,9300,America/Chicago
Liberty,TX,30.0379,-94.7880,9314,America/Chicago
College Place,WA,46.0419,-118.3879,9317,America/Los_Angeles
Waihee-Waiehu,HI,20.9188,-156.5063,9319,Pacific/Honolulu
Hartland,WI,43.1027,-88.3399,9320,America/Chicago
Birch Bay,WA,48.9230,-122.7543,9323,America/Los_Angeles
Lenoir City,TN,35.8110,-84.2818,9324,America/New_York
Stansbury Park,UT,40.6356,-112.3054,9325,America/Denver
Rotonda,FL,26.8845,-82.2791,9325,America/New_York
Marlboro Village,MD,38.8307,-76.7699,9325,America/New_York
Claymont,DE,39.8032,-75.4606,9330,America/New_York
Heath,TX,32.8444,-96.4679,9331,America/Chicago
Clinton,NC,35.0005,-78.3311,9334,America/New_York
St. Augustine Shores,FL,29.8039,-81.3086,9340,America/New_York
Madras,OR,44.6425,-121.1315,9340,America/Los_Angeles
Saline,MI,42.1741,-83.7780,9343,America/Detroit
Woodmoor,CO,39.1063,-104.8456,9345,America/Denver
Edwards,CO,39.6215,-106.6183,9350,America/Denver
Golden Hills,CA,35.1512,-118.5024,9351,America/Los_Angeles
Stuarts Draft,VA,38.0245,-79.0308,9354,America/New_York
Bay Minette,AL,30.8930,-87.7912,9354,America/Chicago
